country,x,y
ARG,74.2499480615,26.8844317219
AUS,70.1650228929,-47.6104079849
BGD,-108.155953773,24.1686620783
BRA,-14.1025992475,-32.2446167702
CAN,64.4672081123,-47.8319459076
CHL,76.3373615952,44.9396540612
CHN,-27.4498598989,65.501594613
COL,-20.0995529559,-74.7355857407
DZA,125.467280431,122.591441497
EGY,81.7230421542,137.472287337
ETH,-41.8820348354,19.6355789599
EUN,91.2131362891,-6.08927751257
GHA,-87.8348202875,-9.71128578737
HTI,-104.29100166,-13.5690823329
IDN,-123.500791063,20.3301329439
IND,-22.7873047544,22.0812612816
IRN,82.9122648554,119.104996821
ISR,-97.6436355866,-26.9831597055
JPN,-35.4438833949,-17.0327286856
KAZ,212.892455945,-61.6792518915
KOR,-51.9074485121,14.9061737411
MEX,-46.0899416385,-17.5234318817
MOZ,-91.7065892566,-11.9936802559
MYS,-73.8412509354,16.446244862
NGA,-56.3806316122,19.198817018
NZL,-23.5988280326,-95.6698697726
PAK,104.144477815,23.6055478501
PER,-38.6046904507,5.05770498498
PHL,-95.5273183752,17.7017401293
PRY,-20.0724195731,-38.2511424212
RUS,138.416889821,-24.7931619891
SAU,-6.48218037155,34.9322089451
SDN,-105.268356825,-11.5601757936
THA,-121.046567517,11.5359692084
TUR,200.988457626,69.6229701776
TZA,-83.5795173887,-26.68484351
UKR,207.39816953,-81.9462903496
URY,141.536324046,-113.352291461
USA,69.2046376217,-41.2927945923
VNM,-131.678559662,16.6098150576
ZAF,-14.8987147108,-10.3076042146
ZMB,-97.2422244782,-21.4646047278
