country,x,y
ARG,54.5653048075,45.2364252012
AUS,73.7806549772,-37.2804222242
BGD,-115.955079176,10.9378808345
BRA,-19.0978309962,-22.2005200851
CAN,59.2310777546,-24.8283681915
CHL,68.9046486369,23.5484189607
CHN,-36.6990928912,30.2887989725
COL,-3.37680834994,-96.5997617368
DZA,159.62827555,133.691450816
EGY,92.8375681614,140.743915972
ETH,-18.8359387554,27.7056491299
EUN,83.8813024921,-4.94965437846
GHA,-96.2927938341,0.0447649604159
HTI,-113.922510354,-11.6395036889
IDN,-119.022055361,12.7564027039
IND,-21.4142573717,10.8672913214
IRN,79.2673246006,116.397609166
ISR,-104.611555182,-28.6663831215
JPN,-46.5666222982,-14.4817764905
KAZ,228.674085339,-117.663367501
KOR,-46.4175662237,2.75532189242
MEX,-40.2645497864,-14.9521804473
MOZ,-92.2907657103,6.95569141994
MYS,-75.3517517055,9.09681147978
NGA,-77.5742964691,20.6591302029
NZL,32.5943497182,-49.5486393921
PAK,122.601422138,-25.3679948314
PER,-24.7579328673,-1.91137795238
PHL,-108.636043835,11.9123146452
PRY,-15.4710924786,-34.8192046939
RUS,93.5873583459,-23.941567225
SAU,4.79014644003,42.0404089893
SDN,-115.358683005,-8.86781267435
THA,-106.051367667,-5.01672713205
TUR,194.782002454,75.3060727095
TZA,-78.0269607586,-16.8994364198
UKR,166.627197116,-59.0776060164
URY,155.95671368,-84.747248608
USA,50.368135679,-30.8731657299
VNM,-130.648888165,7.91043357917
ZAF,-17.9114468918,-8.22126407736
ZMB,-97.5216777559,-6.30081033811
