country,x,y
ARG,63.6167363599,31.5260149377
AUS,73.5765546914,-39.4252653024
BGD,-109.769250741,14.123360202
BRA,-14.5174478261,-29.6614667076
CAN,67.2200710461,-32.2448551999
CHL,86.0645045981,45.9971312595
CHN,-34.9907831228,56.6544572856
COL,-8.10444261039,-81.170564002
DZA,122.772299203,133.749098271
EGY,70.9176802874,140.386863825
ETH,-44.8242907633,23.943756707
EUN,87.6999194401,-0.389425626946
GHA,-91.2939702275,-8.28466795092
HTI,-107.059581005,-14.8904127285
IDN,-121.550873708,13.6092599136
IND,-24.2768923361,17.8750938844
IRN,79.5426829029,126.329883668
ISR,-99.9018251638,-27.867943764
JPN,-35.2499897887,-18.6738931348
KAZ,220.795113156,-71.8045321072
KOR,-51.931535193,5.23900769746
MEX,-54.7815828546,-21.9914755729
MOZ,-96.7097026804,-11.1006576944
MYS,-71.6736658445,14.2773846733
NGA,-58.8675933412,24.9050143719
NZL,0.884388531458,-76.1291726902
PAK,108.82851166,21.9958163842
PER,-33.9960802083,6.98307002306
PHL,-94.8028925596,16.7250537896
PRY,-11.615052465,-44.220557611
RUS,131.609588356,-32.5153573041
SAU,-9.82113543012,32.2705104314
SDN,-108.131440468,-12.8447566865
THA,-119.591662457,-1.27590332678
TUR,194.277466547,76.1856829189
TZA,-86.6533294815,-25.7448389298
UKR,202.032238991,-70.3409502091
URY,162.082870389,-128.292139639
USA,68.0274596352,-31.6746400152
VNM,-134.37698656,7.28631405463
ZAF,-19.6431389274,-10.7741978964
ZMB,-95.8129400299,-18.745100199
